"city","year","month","time","long","lat","site","Wind Speed - Resultant","Outdoor Temperature","Barometric pressure","Ozone"
"Bakersfield",2006,1,73,-119.041209,35.356092,"Bakersfield-California",10.3962398064516,24.4679597419355,10.3592077419355,0.0262375862068966
"Bakersfield",2006,2,74,-119.041209,35.356092,"Bakersfield-California",15.2485119285714,25.2619047857143,9.94776792857147,0.0380151071428571
"Bakersfield",2006,3,75,-119.041209,35.356092,"Bakersfield-California",10.0284595483871,30.5806451612903,9.93588706451612,0.0266962903225806
"Bakersfield",2006,4,76,-119.041209,35.356092,"Bakersfield-California",9.5833333,25.4416666666667,8.85930553333333,0.0410292
"Bakersfield",2006,5,77,-119.041209,35.356092,"Bakersfield-California",7.41581135483871,27.2895894516129,10.5060362258065,0.0551801290322581
"Bakersfield",2006,6,78,-119.041209,35.356092,"Bakersfield-California",5.4884662,22.7355072,6.66383450000001,0.0620572222222222
"Bakersfield",2006,7,79,-119.041209,35.356092,"Bakersfield-California",6.67473116129032,23.3481182258064,5.67137096774195,0.0518580967741935
"Bakersfield",2006,8,80,-119.041209,35.356092,"Bakersfield-California",5.93279570967742,21.4327956774193,7.16169348387098,0.050397935483871
"Bakersfield",2006,9,81,-119.041209,35.356092,"Bakersfield-California",8.21567633333333,26.1881883333333,6.93936966666672,0.0668742666666667
"Bakersfield",2006,10,82,-119.041209,35.356092,"Bakersfield-California",6.6517064516129,27.0034212903226,11.3771096774193,0.046159935483871
"Bakersfield",2006,11,83,-119.041209,35.356092,"Bakersfield-California",6.8486111,24.0736111333333,11.4762500333333,0.0445082
"Bakersfield",2006,12,84,-119.041209,35.356092,"Bakersfield-California",11.7069892580645,33.5927418709677,9.20591396774194,0.0282912903225806
"Bakersfield",2007,1,85,-119.041209,35.356092,"Bakersfield-California",9.96852,26.4742501612903,14.6284946129032,0.0214919677419355
"Bakersfield",2007,2,86,-119.041209,35.356092,"Bakersfield-California",10.2857142857143,22.1600378571429,12.9804606785715,0.0270862857142857
"Bakersfield",2007,3,87,-119.041209,35.356092,"Bakersfield-California",10.3280632258065,24.9322750322581,8.12099061290326,0.0553050967741936
"Bakersfield",2007,4,88,-119.041209,35.356092,"Bakersfield-California",8.5958333,31.4027777333333,8.18166660000009,0.0466791333333333
"Bakersfield",2007,5,89,-119.041209,35.356092,"Bakersfield-California",9.36962364516129,21.9623656774194,5.99368274193557,0.0415874838709677
"Bakersfield",2007,6,90,-119.041209,35.356092,"Bakersfield-California",7.4861111,22.5138889666667,6.00958326666671,0.0457332
"Bakersfield",2007,7,91,-119.041209,35.356092,"Bakersfield-California",5.75537635483871,25.0900537096774,6.74018825806456,0.0688969677419355
"Bakersfield",2007,8,92,-119.041209,35.356092,"Bakersfield-California",5.22364106451613,21.1570673870968,5.53705154838713,0.0438216774193548
"Bakersfield",2007,9,93,-119.041209,35.356092,"Bakersfield-California",8.0152778,26.2763888333333,6.92888890000006,0.0536208333333333
"Bakersfield",2007,10,94,-119.041209,35.356092,"Bakersfield-California",8.30376341935484,24.1397848387097,11.4903226451613,0.0458602903225806
"Bakersfield",2007,11,95,-119.041209,35.356092,"Bakersfield-California",7.08750003333333,19.8708333333333,7.12861106666674,0.0415347333333333
"Bakersfield",2007,12,96,-119.041209,35.356092,"Bakersfield-California",7.84274187096774,19.9327957096774,11.2962365806452,0.0232920322580645
"Bakersfield",2008,1,97,-119.041209,35.356092,"Bakersfield-California",14.6720430645161,18.5577957096774,10.0645160967742,0.0266089032258065
